case_id,model_type,arrival_rate,service_rate,num_servers,timeout,spawn_time,blocking_probability,latency,cpu_usage,ram_usage
0,Markov,19.63579179817968,2.8787756842565972,8,9.649756414632604,6.620442767005022,0.027463775720784546,0.5120394255174407,339.4058943890573,497.1855265029924
1,Markov,10.033827098357962,2.742929789651423,7,1.7299608218564109,3.353282064821137,0.031499166896772464,0.8256338157787574,183.93411301460577,345.4724511725201
2,Markov,26.838836161312422,3.003489273764296,11,1.5311367447598578,4.540533650935111,0.07681966367637214,0.6825714007019805,424.0555765710493,677.4940166963867
3,Markov,28.74010629579483,3.3150732749195595,6,4.885065731572566,5.854726420628957,0.19632295797164828,0.4158765792651689,353.214542080672,423.8904144614756
4,Markov,16.053295244120797,3.514044347873336,15,8.99952520838097,8.086939853222535,0.00012421501944305478,0.5706561747512007,238.09008576986355,473.77713894683853
5,Markov,12.077656278928101,1.4710263428621988,11,9.912373312041742,2.624866004463295,0.0010811612345279326,0.7952115162602418,416.72486207891916,527.5798470572084
6,Markov,18.22469237899982,0.8796562809212656,18,8.982280863908366,1.393205544054212,0.0022925264751443263,1.1943111830599196,1041.3103306494575,1060.4187002249569
7,Markov,12.74690876772715,2.9774661561999443,18,9.718699107749591,7.573661108856877,2.6005578773320675e-06,0.6320740422663362,222.67687817689617,429.8781533755381
8,Markov,27.799513053868175,0.6374883269260748,20,1.5130993687942116,5.126626910268804,0.2734069161469064,1.8675754203709425,1592.079012856102,1502.0040750393216
9,Markov,6.857094116586358,1.3853907512413066,20,7.30852898871214,5.161764295295285,1.4731781405022951e-09,1.115259903279121,253.9964749405345,393.5161404529862
10,Markov,13.713352033917396,3.2565849803210316,17,1.6758066437010795,3.2413373287339735,5.0555314702638196e-06,0.7156816048837339,219.04740643177348,423.45035398315264
11,Markov,9.246741990223164,1.23354964165573,18,7.846180103032602,4.493939806182113,7.443502349081397e-07,1.0941406047410451,381.9995539413538,515.7709977846175
12,Markov,15.893725374592933,0.9514812084120128,13,2.143618759629932,9.124173015933252,0.17995040702831694,1.7534325918426497,696.219608833201,887.1193872582045
13,Markov,15.210889397328051,2.2865922262661726,6,3.922904109924642,2.1972260598879108,0.06971254836727095,0.5557671702009909,314.0914082357805,387.5810657040337
14,Markov,5.425106758216831,2.7121475583414814,13,9.690574939645982,5.860338873900166,7.326483995061805e-07,0.7410673966165052,105.37531683495116,240.82472281112558
15,Markov,7.956891116810398,1.4875242353398062,16,6.799059853221924,6.680653946783617,1.1417522297483318e-05,1.1645444732573584,275.3545889211498,451.06514672959054
16,Markov,25.716350922996813,3.951505665418464,3,9.484495517468561,9.14735668270784,0.4011295916541629,0.3195109792223433,196.95632377467152,218.42534103610163
17,Markov,26.836085355569185,2.8545204494559466,16,2.124938874805309,7.769014195926139,0.029845379131026344,0.8930606822886261,474.0288695722591,904.6811429314844
18,Markov,9.866763968336336,2.52522634744391,1,7.365044941273148,2.528905933972714,0.6360740132314308,0.43650906423430275,71.66704620592199,73.94923323240947
19,Markov,11.212379393133036,3.1195433864975497,18,9.482555255009679,7.704063168912218,1.2873159844305372e-06,0.6476876669751688,187.89412621931945,389.2439928919582
20,Markov,20.11931343337481,1.7583188219573342,20,5.582502803195609,1.6810990350757171,4.7121822090626687e-07,0.652320666660407,579.384628742505,675.7040590218835
21,Markov,20.333568501761082,2.16411893720865,12,9.301907684468771,2.5281244260177034,0.0012819097806849354,0.5434110974498028,476.91480658011625,607.2018334976734
22,Markov,22.59677162070546,0.41212523731301387,18,9.589514982558413,5.850393905867856,0.3855722900063599,2.4881146355490293,1686.7090738260172,1415.3480845464107
23,Markov,27.029913810225718,1.3741976735113528,1,1.8758843601085267,4.003668501807094,0.9126358367488172,0.8083228947029765,86.20049197763682,77.12470768750434
24,Markov,22.026869123332062,0.8334805170198615,13,6.0158904509953794,5.604095434002487,0.20817626321883698,1.3318538961821604,1051.0751530003954,980.321706762777
25,Markov,15.861141061474699,2.4691844621686307,17,5.172155237801713,3.4340873346054956,3.4763404223268937e-06,0.5992078844787397,328.9007060466007,488.5458985611383
26,Markov,19.266402877095537,2.979710980421326,20,1.7313371278828598,9.173296182032784,0.00622830197910927,1.2861224872106485,342.9134366208795,906.0393353331277
27,Markov,22.349961611935168,1.6822988130353884,4,8.045872480767052,7.133353239748369,0.5116708222593847,0.6588805661266148,325.87863339951326,304.4138836712086
28,Markov,7.070697675311156,1.4229384992265484,2,4.722945879190717,1.0885474389120833,0.42232397783292436,0.7510226066084704,144.57816768956303,146.38676826703096
29,Markov,19.47417911985322,3.671448930666516,3,2.8531468290035553,4.583700788941251,0.39067503708485446,0.41206262716737235,164.2890885058812,209.96039923180422
30,Markov,27.10103935667992,2.4432785701815947,14,7.417207548300017,5.640274324433225,0.005196865844061289,0.584540615095258,562.6600978295193,769.5276428622564
31,Markov,11.172725675744747,1.7303496828341918,1,3.192341314113788,2.4242537307355247,0.7618575788858333,0.6513460022791249,77.33594247266615,75.08585725879011
32,Markov,19.155453642625094,0.5122490626153312,12,4.588233122730305,6.646919869902365,0.4330171973608352,2.1005407450308056,1062.83422151763,929.7983518209578
33,Markov,9.230310939342264,3.5838222446118535,7,8.975327172287203,5.259873938916909,0.0029069211758441568,0.5220697437603943,134.4567318374146,284.3308517979818
34,Markov,25.286090996912247,0.5606623284902363,9,7.142709462246932,6.221237730350669,0.6244820261933383,1.8353095929775196,847.8550311788129,709.0793177523013
35,Markov,10.073198617329929,2.2106507921814913,17,9.706014119871655,3.35051184528935,8.574972186748797e-09,0.6069492771491785,233.90175206257678,364.31939062966285
36,Markov,17.06434840396423,0.260305711641342,11,2.9089676775623357,0.9843348412157218,0.6738684860819146,3.8687785491342876,1069.5754800411576,873.1056871510212
37,Markov,7.623603926137097,0.6821193201766161,2,8.106962013137863,1.9672393777289416,0.6864141597284514,1.5055092989971695,175.7207055103655,154.6935374788887
38,Markov,18.738646099844424,1.7130441060630655,14,4.933321655757218,2.4507561277801457,0.0011397262618226883,0.7216271542588243,554.0918254924701,670.3095851500043
39,Markov,6.593377318800207,0.38249776675201635,13,9.816313389416983,8.67967382018555,0.053013737322477154,3.1587885107534364,823.4360511187501,870.2545188676877
40,Markov,19.782599580522145,2.6176750936011484,16,2.7731751655812107,8.83410819066611,0.01174952673920017,1.0356907287058974,390.21715823971795,802.4729772514896
41,Markov,10.091972033798994,1.10209800341253,10,6.177527987773086,3.617202577749269,0.012323308208213181,1.1517031785802572,458.8054189070373,559.6162738180612
42,Markov,12.83117604103295,2.181190238616482,16,8.485848313528297,7.87134751007057,8.520523789617408e-05,0.818560467308205,303.7081565476711,523.3093139504429
43,Markov,24.428439770015853,1.3560451068689932,17,4.825570852742359,1.9138669011527516,0.0034225507219674415,0.8345750493353048,905.9681816654717,967.9298861168306
44,Markov,10.800907255622672,2.2182436233967335,20,2.7101569094761877,5.38806189189449,1.3154368865403252e-06,1.044246820336846,253.089671517966,483.77583002715824
45,Markov,7.9632442709579685,0.8147267033081367,6,6.589619401294976,8.715676959941117,0.23368915075793645,1.6177980301187582,378.6845472898678,425.10510826542696
46,Markov,18.353539364851194,3.5621800011476092,4,0.8896359595651226,0.9203875097460464,0.18715619197266256,0.38624503762225726,212.49787898318516,260.394487272697
47,Markov,13.527951457434352,1.0102248986594176,4,4.168905675741678,8.750241060519874,0.5575110822256918,1.2206076298121844,298.30826463902275,298.1899740100785
48,Markov,9.054761104586422,3.6044802220738195,10,1.9811022762125414,7.54192052250539,0.018814057596775412,1.2952373652896438,134.65901597781513,441.1294853519654
49,Markov,9.542305106140562,0.4984575120643895,2,1.900891727265249,9.480704383397185,0.8431410822478012,2.5542070207661856,151.12748810008543,149.65628611958078
50,Markov,18.106654630632992,1.8001615344579571,10,5.4997535972075395,6.828000298116715,0.05357904918985439,0.8387542384403378,484.7352167866784,643.6841816160194
51,Markov,23.00944590153387,2.230943748439454,9,2.91228448850896,2.9296581937654933,0.06704563143488745,0.6070978490959437,487.91401789888664,588.8932680978157
52,Markov,29.126519273270837,0.3413331565059869,20,9.058105515094546,1.318222592715576,0.5421560625467267,2.9384361908016117,1954.3469675473734,1590.2884851352194
53,Markov,6.106880599598364,3.4235079881713926,14,3.4297378806653374,0.7441540613426101,1.6248392967717375e-15,0.37726474632403867,92.10760434464987,158.86859438411037
54,Markov,27.123433691356485,3.46202298150441,19,8.879612811953182,4.877037758760096,9.779301936594307e-06,0.4185628600444737,401.64823374445575,611.0983536165178
55,Markov,23.13812160928293,2.5310989708584897,12,7.017873241434477,8.873011530119024,0.018938805766561196,0.6813147563542532,460.05642012402177,707.8255995755517
56,Markov,7.825386090251616,1.3775903087504269,9,0.6361142388636859,5.040344501776874,0.13003329178593925,2.1052702497444913,257.66739661404034,514.9413422298659
57,Markov,28.21722774354742,3.5736262328770545,12,2.156202800820781,7.301000639072048,0.06683808367477895,0.7027630851612969,382.8360175912401,727.488302346997
58,Markov,6.917646268606959,1.6336806754859623,6,6.706628204901236,3.4030907275682343,0.016629968504726568,0.8566738872630836,213.14101759951416,314.82654688973474
59,Markov,14.067026988774884,1.2518403103093358,10,0.8120595378158074,0.8400569660095032,0.027380585777715544,0.9608409679404782,550.8295143813967,567.9613589265741
60,Markov,7.7325785816731365,2.668210514028017,3,5.682135430017154,0.7236285595569576,0.06783618353187744,0.4160652899047874,137.70648146112308,187.0814553918996
61,Markov,16.31888053511669,2.1542294507337445,15,5.392542045644678,7.414495249211307,0.0017089787227038684,0.8738911980985485,389.64482280473874,648.3442983502431
62,Markov,23.037484793717855,0.6986413454306462,6,9.11357668645223,9.493639003461789,0.6653482244646135,1.494837214310171,552.7113253145407,470.18136443879126
63,Markov,21.283257206172816,2.8221538508576978,10,5.348896960075036,7.985138077831502,0.03585257250644737,0.658483278774922,373.977349709987,603.4964781768183
64,Markov,10.301017433349237,3.6444670619770134,20,7.340015778642726,9.673264780709905,1.535245036727572e-06,0.7880229272811755,150.62952927509616,392.2297423524493
65,Markov,20.907990240817497,2.7986201464119063,14,7.06792198864561,7.364608457232255,0.0020304147501746584,0.633670786897676,384.0827729590347,637.2310302564506
66,Markov,12.281724335503707,2.5886610940499777,2,9.989554058017962,1.5160470924248513,0.39755894830888516,0.4061712977624139,144.02782659462224,147.80426258977224
67,Markov,21.19028947653196,2.5879068396113767,2,4.346099000225523,5.518429996180114,0.6416047536518034,0.4641246299370735,147.7855220152377,149.0340864083844
68,Markov,11.398839448854293,2.030309124612356,9,4.477373887226223,1.583267872370942,0.0010115805929358933,0.6116841627368884,285.62653449121,380.1560092231421
69,Markov,21.845205490654276,3.0004743338152773,9,8.910090058126423,6.754081855717617,0.02061349405757745,0.5076740737783789,365.17858220634963,544.8190774729077
70,Markov,6.216996986826318,1.214344618673124,3,7.549241619288148,0.6345922848697729,0.214413856278797,0.8513619332884917,202.8511240162818,213.5428083321089
71,Markov,24.512241288262548,3.943187361324137,19,8.542260762693804,1.9875711197793238,6.8918148397729584e-09,0.3084316704951418,317.93789833467036,462.2628525429491
72,Markov,23.248522308605335,0.9307282036966886,8,3.7911866377612418,7.321169548584965,0.4724954350571286,1.2234097951990581,661.5961343435871,610.2544710075973
73,Markov,24.716150547333054,1.0715837442995761,5,5.51791119815411,2.0607882055173707,0.602167519403695,0.9556381115692385,459.61308923553895,391.3849288589242
74,Markov,21.64898123989122,3.638196516347816,18,8.996934129711223,2.575896788006381,6.203580140687148e-08,0.3495735007077849,304.7902421267645,456.0207940316917
75,Markov,19.96029808910619,2.8708785476127665,6,4.608711689903369,3.3972363685447546,0.09754572347990953,0.4677715693819143,318.7942687753975,403.0942092581959
76,Markov,11.368150458054508,1.8179867417393796,4,0.6825860742293175,5.017765608374625,0.5199281740213908,1.3217249474843489,154.88242546118164,263.60693224125987
77,Markov,25.896120337243815,0.4802929739971987,17,4.075047184390796,1.0986265546076037,0.4011671391190679,2.1043296420725195,1615.9999183191026,1340.2827222139354
78,Markov,22.519259796558924,2.8407212257492542,7,6.498999102703924,2.0896648761484538,0.043315262005383284,0.4124416408679655,384.5463626795994,463.85244683323003
79,Markov,17.149215825337976,2.1528201432593326,9,4.891312373728147,7.158451456507709,0.05751034013548117,0.7884853051225368,384.20483149108657,564.7464203228742
80,Markov,10.78530867486278,3.607271813181774,17,8.30537914228929,6.585571904067995,1.0001674096959678e-06,0.584044420497672,156.97646133617434,344.073881175693
81,Markov,28.144748322115362,0.5324142686831453,11,2.530350823977885,4.942191478542334,0.6162713142534533,1.9817483622258014,1015.9331328461924,862.102822107393
82,Markov,14.986373503335797,3.918619871863822,2,1.1343029982410686,8.36119491022227,0.7014661478473904,0.8107344062605212,59.90830590764205,130.3479878454078
83,Markov,11.841639945264177,2.777100320877974,9,0.7099492760253193,6.246039385562045,0.1798279716771907,1.5517783405476258,187.75137097535747,526.5730811645531
84,Markov,26.126912463033527,1.4649275288645405,16,7.312368428000739,2.178788973256202,0.005421846830689318,0.759175276965016,895.5775780063568,969.4767524308278
85,Markov,18.447653847379883,3.667570682523859,1,7.635860147116567,4.055767378537247,0.7052606760028525,0.305456077194553,74.64007563166962,74.72221862153245
86,Markov,6.356440472728074,1.1827265087764887,3,9.791227936504969,5.314334938269162,0.29386978090796545,1.0091550966440934,191.83904761173517,214.4373544092476
87,Markov,29.78256079681239,2.5898407842037576,20,2.789421924082452,2.297976062006035,3.0454338169140267e-05,0.5285805174091981,584.3632416926879,741.7514482233794
88,Markov,21.261999101237514,0.28147654490276997,14,2.619767988552727,3.8982110636921257,0.6463324377580023,3.6528262326383465,1337.014936846159,1106.3743771079064
89,Markov,14.668253113925449,1.1592110718818045,11,2.103572807548847,7.413470318980621,0.15201867452163081,1.4924657624292217,546.5596992837535,730.9029200091787
90,Markov,27.480638720068356,3.3289028350194276,12,5.4244249892570116,8.736174201909295,0.022762516236313875,0.5914859398249299,416.03374511895265,702.8190910132835
91,Markov,5.795369205709171,2.1593772815694607,18,3.594704011025455,6.418679616435753,9.687133552484718e-08,1.2816590516030941,141.5913586349982,329.3711934805052
92,Markov,6.23464059776871,0.6159059297599592,20,8.180086471644337,4.8061701135037485,2.4316668008412885e-07,2.024874791230719,512.8951110319948,607.6920670848577
93,Markov,11.078707906490196,0.537603503604849,19,5.678976509334388,8.127182707986922,0.016036715335916177,2.470709407574514,1025.1624824367934,1150.303534343358
94,Markov,22.413776900781457,2.213804217459182,13,9.960128009571164,8.02672984740125,0.007280721765009109,0.6728781727260535,513.5694579683286,732.8596826056081
95,Markov,14.658686246690639,1.1248367074489152,4,9.646426409926393,7.032426313142312,0.49739838053783997,0.9708030185579227,328.92013775133677,304.86500688871143
96,Markov,20.294843785685828,3.1057492887185196,19,9.11847644060954,3.329671300424135,1.3820883369617365e-07,0.42505886847629515,334.55085792122827,496.00424752831066
97,Markov,13.355214251978873,2.042510336754929,20,7.572624698237622,9.551645968107335,2.3895146612746673e-05,0.962230879538618,338.23980718103115,601.0261815127437
98,Markov,18.245944777515255,3.2642702428757984,17,2.3595474163139682,9.267203053208409,0.006646716441503848,1.1003584454114048,295.6774399891124,763.7587918840366
